movie_name,genres,rating,year
The Climbers,"Comedy,Drama",8.3,1919
Count Your Change,"Comedy,Short",5.8,1919
The Crimson Gardenia,"Drama,Adventure",6.6,1919
Daddy-Long-Legs,"Comedy,Drama",7.4,1919
Dangerous Hours,Drama,5.1,1919
The Dark Star,Adventure,7.9,1919
A Day's Pleasure,"Short,Comedy",6.8,1919
The Deadlier Sex,"Comedy,Drama",6.9,1920
A Debtor to the Law,"Crime,Western",7.0,1919
The Delicious Little Devil,"Comedy,Drama",6.7,1919
Deliverance,"Biography,Drama",7.1,1919
Don't Change Your Husband,Comedy,7.7,1919
Don't Shove,"Comedy,Short",5.7,1919
The Exquisite Thief,"Drama,Crime",5.4,1919
Eyes of Youth,Drama,6.6,1919
The Fall of Babylon,Drama,6.8,1919
The False Faces,Drama,6.1,1919
A Dangerous Wooing,Comedy,6.4,1919
The Fatal Fortune,"Action,Adventure",5.4,1919
A Fight for Love,Western,4.2,1919
The Fighting Brothers,"Short,Western",3.9,1919
The Follies Girl,Comedy,4.2,1919
Fool's Gold,Drama,4.1,1919
"For Better, for Worse",Drama,7.5,1919
From Hand to Mouth,"Comedy,Short,Action",7.0,1919
The Garage,"Short,Comedy",6.8,1920
A Gay Old Dog,Drama,7.6,1919
Getting Mary Married,Comedy,7.9,1919
Girl from Nowhere,"Action,Adventure,Drama,Romance,Western",5.4,1919
movie_name,genres,rating,year
Lehrer leben länger,Comedy,5.7,1990
Lekin...,"Drama,Fantasy,Musical",7.5,1990
The Lemon Sisters,"Comedy,Drama",4.9,1989
Leona Helmsley: The Queen of Mean,Drama,6.7,1990
movie_name,genres,rating,year
Heads,"Comedy,Crime",5.3,1994
Healer,Drama,5.5,1994
Heart of Darkness,Drama,5.8,1993
Heart of a Child,Drama,7.4,1994
Heartland,Drama,7.8,1994
Heavenly Creatures,"Biography,Crime,Drama,Thriller",7.4,1994
Heavy Weights,"Comedy,Drama,Family,Sport",6.7,1995
Hei shan lu,Drama,7.6,1994
Pom Poko,"Animation,Comedy,Drama,Family,Fantasy",7.4,1994
Helimadoe,"Comedy,Romance",6.4,1994
Hell Bent,Drama,5.4,1994
Heller Tag,Drama,8.0,1994
Henry & Verlin,Drama,6.4,1996
Hercule Poirot's Christmas,"Crime,Drama,Mystery,Thriller",8.1,1994
Hercules and the Amazon Women,"Action,Adventure,Fantasy",6.6,1994
Hercules: The Legendary Journeys - Hercules and the Circle of Fire,"Action,Adventure,Fantasy",6.6,1994
Hercules: The Legendary Journeys - Hercules and the Lost Kingdom,"Action,Adventure,Fantasy",6.7,1994
Hercules in the Maze of the Minotaur,"Action,Adventure,Fantasy",6.4,1994
Hercules in the Underworld,"Action,Adventure,Fantasy",6.7,1994
Heart of Stone,Drama,7.4,1995
The Hidden II,"Crime,Horror,Sci-Fi",2.7,1993
High Boot Benny,Drama,5.2,1993
The High Crusade,"Adventure,Comedy,Sci-Fi",5.0,1994
Highlander: The Final Dimension,"Action,Fantasy,Romance,Sci-Fi",4.4,1994
Highway of Heartache,"Comedy,Musical",7.9,1996
La hija del Puma,Drama,5.7,1994
Himmel und Hölle,Drama,7.0,1994
Die hirnlose Frau,Short,8.0,1994
L'histoire du garçon qui voulait qu'on l'embrasse,"Drama,Romance",6.4,1994
Stories from the Kronen,Drama,6.2,1995
The Hitler Tapes,Comedy,4.5,1994
Hits!,"Comedy,Drama",5.8,1994
Hollywood Dreams,Comedy,2.5,1994
Life and Death of the Hollywood Kid,Drama,7.1,1994
Holy Matrimony,"Comedy,Crime",5.1,1994
Men Always Lie,Comedy,5.3,1995
Home Away from Home,Short,6.2,1994
Homeroom Affairs,"Animation,Comedy,Romance",7.0,1994
Honey Sweet Love...,"Comedy,Drama,Romance,War",6.9,1994
Blush,Drama,6.9,1995
Hong Kong 97,"Action,Drama,Thriller",5.8,1994
Red Rose White Rose,Drama,7.2,1994
The New Legend of Shaolin,"Action,Adventure,Comedy,Drama,History,Romance",6.4,1994
Hong tian mi ling,"Action,Thriller",5.5,1994
Honor Thy Father and Mother: The True Story of the Menendez Murders,"Crime,Drama",5.7,1994
Hoop Dreams,"Documentary,Drama,Sport",8.3,1994
Hostage for a Day,Comedy,3.7,1994
Hostile Intentions,"Action,Drama,Thriller",4.3,1995
Hotel Oasis,"Comedy,Short",7.0,1995
House Party 3,"Comedy,Music,Romance",4.4,1994
movie_name,genres,rating,year
Thou Shalt Not Kill,"Drama,War",7.9,1961
Neka daleka svjetlost,Drama,7.6,1969
Nema malih bogova,Comedy,7.6,1961
The Naughty Ones,Drama,7.5,1967
"Niagara, Niagara","Drama,Romance",7.1,1997
Tit for Tat,"Comedy,Drama",7.2,1978
No Visible Bruises: The Katie Koestner Story,"Drama,Family,Sport",8.4,1993
No matarás,Drama,7.1,1943
Rural Chivalry,Drama,6.7,1977
A Night in Nude,"Crime,Thriller",6.7,1993
Od zlata jabuka,Drama,7.5,1986
I Dream of My Friends,Drama,6.7,1993
Operation Titian,"Action,Thriller",6.4,1963
The Bet,"Drama,Romance",7.1,1971
The Eighth Door,"Drama,War",8.3,1959
The Other Side of Aspen,"Short,Adult",7.2,1978
Shepherd,Drama,8.2,1971
Where Did Tom Go?,"Drama,Action",7.8,1971
Truckers,Comedy,8.4,1973
Palma medju palmama,Drama,7.5,1967
El papelerito,"Comedy,Drama",7.9,1951
Paperback Hero,"Comedy,Romance",6.5,1999
O Paradeisos anoigei me antikleidi,Drama,7.4,1987
Paramour,Comedy,6.0,1999
A Piece of Blue Sky,"Drama,Family",6.8,1961
Partisan Stories,"Drama,War",7.5,1960
movie_name,genres,rating,year
Renegade Monk,"Action,Comedy",6.1,1978
movie_name,genres,rating,year
A Regular Thing,"Drama,Short,Comedy",6.4,1998
Reina de reinas: La Virgen María,"Drama,History",5.6,1948
Reunion,Drama,5.8,2001
Riding Lessons,"Adult,Drama",6.6,1997
RoboCop: Prime Directives,"Action,Crime,Sci-Fi",4.8,2001
Rosa and Cornelia,Drama,7.2,2000
Sa ngalan ng pag-ibig,"Drama,Romance,Thriller",7.2,1995
Safe Sex,Comedy,6.5,1999
Sana maulit muli,"Drama,Romance",6.2,1995
Sehnsucht,Crime,6.7,1999
Schipperskwartier,Comedy,5.8,1953
School's Out,"Horror,Mystery,Thriller",5.1,1999
